"","Plot","sensor","year","doy","cfmask","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band6","sr_band7"
"271",5,"LC8","2013","260",4,639,842,1248,1615,3113,2996,2285
"272",5,"LC8","2013","260",4,746,951,1469,1879,3346,3487,2699
"273",4,"LC8","2013","260",2,759,950,1474,1907,3388,3523,2789
"274",3,"LC8","2013","260",0,748,905,1458,1882,3314,3428,2756
"275",3,"LC8","2013","260",0,576,746,1162,1455,3259,3009,2241
"276",7,"LC8","2013","260",0,742,933,1444,1866,3195,3378,2651
"277",7,"LC8","2013","260",0,685,878,1326,1726,3170,3342,2618
"278",2,"LC8","2013","260",0,653,813,1331,1646,3200,3165,2432
"279",1,"LC8","2013","260",0,688,873,1399,1734,3218,3116,2333
"280",1,"LC8","2013","260",0,690,908,1427,1743,3255,3139,2352
"281",16,"LC8","2013","260",2,430,534,847,1095,1835,1924,1373
"282",11,"LC8","2013","260",4,519,735,967,1321,2334,2003,1625
"283",10,"LC8","2013","260",2,825,1021,1541,2072,3370,3408,2722
"284",14,"LC8","2013","260",2,642,829,1245,1619,2932,3084,2324
"285",13,"LC8","2013","260",2,696,881,1334,1750,3198,3224,2535
"286",15,"LC8","2013","260",2,766,944,1477,1924,3298,3518,2775
"287",15,"LC8","2013","260",2,815,1001,1540,2047,3219,3528,2820
"288",20,"LC8","2013","260",2,355,453,691,912,1574,1401,1055
"289",23,"LC8","2013","260",2,459,582,903,1166,2397,2140,1564
"290",22,"LC8","2013","260",4,404,512,801,1033,1875,1730,1204
"291",21,"LC8","2013","260",2,215,270,437,529,1003,796,564
"292",21,"LC8","2013","260",2,231,286,434,532,902,756,556
"293",17,"LC8","2013","260",2,301,388,618,779,1258,1152,892
"294",18,"LC8","2013","260",2,637,798,1240,1606,2784,2833,2093
"295",19,"LC8","2013","260",2,761,1010,1435,1918,3317,3356,2604
"296",12,"LC8","2013","260",4,1614,1779,2044,2366,3672,3671,2881
"297",24,"LC8","2013","260",4,840,1130,1670,2115,3568,3643,2842
"298",9,"LC8","2013","276",0,582,726,1145,1469,2961,3006,2358
"299",9,"LC8","2013","276",0,778,954,1438,1948,3221,3467,2874
"300",8,"LC8","2013","276",0,625,795,1188,1572,2992,3018,2383
"301",8,"LC8","2013","276",0,775,968,1434,1942,3151,3394,2840
"302",6,"LC8","2013","276",0,844,1049,1573,2109,3226,3585,3109
"303",5,"LC8","2013","276",0,758,957,1439,1897,3205,3316,2780
"304",5,"LC8","2013","276",0,707,910,1332,1777,3260,3305,2646
"305",5,"LC8","2013","276",0,796,992,1468,1999,3266,3471,2893
"306",4,"LC8","2013","276",0,830,1020,1530,2076,3293,3529,2922
"307",3,"LC8","2013","276",0,798,1000,1467,2000,3243,3397,2862
"308",3,"LC8","2013","276",0,669,840,1300,1684,3090,3172,2599
"309",7,"LC8","2013","276",0,804,996,1495,2011,3198,3511,3027
"310",7,"LC8","2013","276",0,791,966,1478,1982,3180,3525,3007
"311",2,"LC8","2013","276",0,689,879,1317,1732,3077,3141,2609
"312",1,"LC8","2013","276",0,688,873,1317,1729,3165,3230,2665
"313",1,"LC8","2013","276",0,721,900,1373,1809,3163,3307,2708
"314",16,"LC8","2013","276",0,803,984,1480,2008,3193,3520,3034
"315",11,"LC8","2013","276",0,738,938,1393,1855,3133,3418,2878
"316",10,"LC8","2013","276",0,867,1069,1569,2172,3276,3529,3050
"317",14,"LC8","2013","276",0,770,950,1427,1932,3184,3441,2879
"318",13,"LC8","2013","276",0,759,945,1425,1904,3176,3422,2885
"319",15,"LC8","2013","276",0,784,970,1452,1962,3239,3570,3023
"320",15,"LC8","2013","276",0,837,1031,1528,2088,3176,3622,3126
"321",20,"LC8","2013","276",0,768,956,1414,1924,3113,3377,2880
"322",23,"LC8","2013","276",0,659,834,1266,1659,3189,3216,2607
"323",22,"LC8","2013","276",0,796,982,1434,1994,3180,3366,2797
"324",21,"LC8","2013","276",0,686,861,1301,1724,3128,3262,2673
"325",21,"LC8","2013","276",0,760,942,1412,1908,3180,3437,2894
"326",17,"LC8","2013","276",0,808,997,1494,2023,3232,3587,3029
"327",18,"LC8","2013","276",0,785,947,1475,1960,3131,3556,3092
"328",19,"LC8","2013","276",0,826,1011,1529,2066,3249,3579,3076
"329",12,"LC8","2013","276",0,659,852,1272,1659,3179,3163,2555
"330",24,"LC8","2013","276",0,673,849,1300,1694,3102,3282,2712
"331",9,"LC8","2013","292",0,658,829,1199,1648,2829,3089,2400
"332",9,"LC8","2013","292",0,834,1033,1479,2083,3123,3542,2909
"333",8,"LC8","2013","292",0,725,915,1312,1813,2921,3190,2545
"334",8,"LC8","2013","292",0,819,1025,1471,2046,3094,3495,2927
"335",6,"LC8","2013","292",0,844,1045,1532,2103,3149,3608,3129
"336",5,"LC8","2013","292",0,862,1062,1557,2156,3187,3533,2968
"337",5,"LC8","2013","292",0,810,1008,1472,2020,3196,3498,2896
"338",5,"LC8","2013","292",0,840,1044,1507,2095,3190,3604,3008
"339",4,"LC8","2013","292",0,877,1087,1551,2189,3198,3647,3005
"340",3,"LC8","2013","292",0,879,1073,1584,2189,3162,3609,3075
"341",3,"LC8","2013","292",0,703,883,1328,1763,2964,3246,2656
"342",7,"LC8","2013","292",0,844,1038,1534,2100,3139,3565,3087
"343",7,"LC8","2013","292",0,816,1017,1496,2032,3105,3573,3060
"344",2,"LC8","2013","292",0,764,955,1412,1915,3009,3316,2780
"345",1,"LC8","2013","292",0,788,977,1433,1968,3083,3397,2834
"346",1,"LC8","2013","292",0,771,961,1423,1927,3117,3424,2804
"347",16,"LC8","2013","292",0,821,1007,1471,2044,3135,3566,3050
"348",11,"LC8","2013","292",0,800,1012,1450,2002,3070,3447,2958
"349",10,"LC8","2013","292",0,905,1111,1599,2247,3210,3677,3162
"350",14,"LC8","2013","292",0,820,1023,1481,2053,3115,3542,2976
"351",13,"LC8","2013","292",0,806,999,1486,2007,3095,3485,2971
"352",15,"LC8","2013","292",0,832,1028,1497,2072,3148,3619,3071
"353",15,"LC8","2013","292",0,887,1082,1594,2197,3122,3669,3221
"354",20,"LC8","2013","292",0,790,963,1435,1969,3011,3447,2955
"355",23,"LC8","2013","292",0,670,857,1245,1683,3026,3224,2636
"356",22,"LC8","2013","292",0,824,1017,1472,2059,3100,3474,2880
"357",21,"LC8","2013","292",0,798,973,1429,1957,3090,3375,2780
"358",21,"LC8","2013","292",0,825,1003,1491,2063,3111,3522,2986
"359",17,"LC8","2013","292",0,866,1063,1547,2153,3187,3618,3083
"360",18,"LC8","2013","292",0,795,981,1450,1979,3048,3541,3043
"361",19,"LC8","2013","292",0,850,1026,1541,2122,3170,3660,3152
"362",12,"LC8","2013","292",0,782,977,1413,1954,3106,3329,2760
"363",24,"LC8","2013","292",0,754,926,1402,1885,3014,3364,2823
"364",9,"LC8","2013","308",4,830,1004,1630,2079,3052,3383,2655
